pais_iso,pais,indicador_code,indicador,anio,valor
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1981,19.63
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1980,20.16
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1979,16.57
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1978,14.58
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1977,15.16
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1976,16.42
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1975,18.23
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1974,20.97
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1973,16.86
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1972,16.13
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1971,14.65
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1970,14.48
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1969,13.28
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1968,12.59
BRA,Brasil,NE.TRD.GNFS.ZS,Apertura comercial (Trade % PIB),1967,11.35
